id,h-id,topic
4698,1.1.5.7,Dividing Whole Numbers by Fractions Using Models: Fractional Results
2377,1.1.5.8,Dividing Whole Numbers by Fractions
2436,1.1.5.9,Dividing Fractions by Whole Numbers Using Models
2369,1.1.5.10,Dividing Fractions by Whole Numbers
2438,1.1.5.11,Dividing Fractions Using Models
2382,1.1.5.12,Dividing Fractions
534,1.2.1.1,Introduction to Ratios
553,1.2.1.2,Equivalent Ratios
552,1.2.1.3,Writing Ratios Using Fractions
563,1.2.1.4,Working With Equivalent Ratios
3746,1.2.1.5,More on Equivalent Ratios
554,1.2.1.6,Ratio Tables
561,1.2.1.7,Graphing Ratios
557,1.2.1.8,Unit Rates
558,1.2.1.9,Solving Problems Using Unit Rates
3593,1.2.1.10,Speed as a Unit Rate
2553,1.2.2.1,Understanding Proportional Relationships Using Tables
2552,1.2.2.2,Understanding Proportional Relationships Using Graphs
2554,1.2.2.3,Understanding Proportional Relationships From Descriptions
2274,1.2.2.4,Modeling with Direct Variation
2273,1.2.2.5,Inverse Variation
3664,1.2.2.6,Modeling With Inverse Variation
236,1.2.3.1,Units of Length
4196,1.2.3.2,Units of Mass
4197,1.2.3.3,Units of Time
4198,1.2.3.4,Units of Volume
3872,1.2.3.5,Units of Area and Volume
3868,1.2.3.6,Unit Conversions Using Base Units of Mass
3871,1.2.3.7,Two-Step Unit Conversions
3869,1.2.3.8,Unit Conversions Using Base Units of Length
3870,1.2.3.9,Unit Conversions Using Units of Time
2229,1.2.3.10,Converting Units of Area to Smaller Units
3990,1.2.3.11,Converting Units of Area to Larger Units
2233,1.2.3.12,Converting Between Mixed Units
2230,1.2.3.13,Determining Units in Formulas
2231,1.2.3.14,Selecting Units for Rates of Change
2234,1.2.3.15,Degrees of Accuracy
562,1.2.4.1,Understanding Percentages Using Models
2451,1.2.4.2,Converting Between Percentages and Fractions
2452,1.2.4.3,Converting Between Percentages and Decimals
2453,1.2.4.4,Finding Part of a Number Given a Whole and a Percentage
2454,1.2.4.5,Finding Part of a Number Given a Whole and a Percentage: Word Problems
2455,1.2.4.6,Finding a Percentage Given Two Numbers
3754,1.2.4.7,Finding a Percentage Given Two Numbers: Word Problems
2456,1.2.4.8,Finding a Total Given a Part and a Percentage
2560,1.2.4.9,"Percentage Increase, Decrease, and Error"
327,1.3.1.1,Subtracting a Positive Number From a Smaller Positive Number
3720,1.3.1.2,Subtracting a Positive Number From a Negative Number
3679,1.3.1.3,Subtracting a Positive Fraction From a Smaller Fraction
3680,1.3.1.4,Subtracting a Positive Decimal From a Smaller Decimal
329,1.3.1.5,Adding a Positive Number to a Negative Number
328,1.3.1.6,Adding a Negative Number
297,1.3.1.7,Subtracting a Negative Number
524,1.3.1.8,Additive Inverses of Numbers
1131,1.3.1.9,Solving Problems Using Addition and Subtraction of Rational Numbers
2281,1.3.1.10,Absolute Value
298,1.3.2.1,Multiplying Positive Numbers With Negative Numbers
3718,1.3.2.2,Multiplying Negative Numbers
330,1.3.2.3,Dividing With Negative Numbers
4136,1.3.2.4,Equivalent Fractions With Negative Numbers
3719,1.3.2.5,Dividing With Negative Decimals and Fractions
2202,1.3.2.6,Reciprocals of Rational Numbers
299,1.3.2.7,Multiplying and Dividing With Zero
323,1.3.2.8,Fractions of Fractions
1024,1.3.2.9,Solving Problems Using the Four Operations on Rational Numbers
2805,1.3.3.1,"Divisibility of Integers by 2, 5, 10, 4, and 8"
3543,1.3.3.2,"Divisibility of Integers by 3, 9, 6, and 7"
840,1.3.3.3,Prime and Composite Numbers
829,1.3.3.4,Prime Factors
4250,1.3.3.5,The Fundamental Theorem of Arithmetic
811,1.3.3.6,Finding Greatest Common Factors Using Prime Factorization
755,1.3.3.7,Finding Lowest Common Multiples Using Prime Factorization
2558,1.3.3.8,"Natural Numbers, Integers, and Rational Numbers"
2564,1.3.3.9,Writing Repeating Decimals as Fractions
2314,1.4.1.1,Introduction to Exponents
2321,1.4.1.2,Evaluating Exponents
3537,1.4.1.3,Evaluating Larger Exponents
2476,1.4.1.4,Evaluating Exponents With Fractional Bases
2477,1.4.1.5,Evaluating Exponents With Decimal Bases
2475,1.4.1.6,Evaluating Whole Number Expressions Containing Exponents
2174,1.4.1.7,Squaring Rational Numbers
2195,1.4.1.8,Cubing Rational Numbers
125,1.4.1.9,Exponents With Rational Bases
322,1.4.1.10,The Zeroth Power
652,1.4.1.11,Powers of Negative One
3561,1.4.1.12,Negative Exponents
267,1.4.2.1,The Product Rule for Exponents
1223,1.4.2.2,The Quotient Rule for Exponents
1224,1.4.2.3,The Power Rule for Exponents
2012,1.4.2.4,The Power of Product Rule for Exponents
1289,1.4.2.5,The Power of Quotient Rule for Exponents
1457,1.4.2.6,Combining the Rules of Exponents
2561,1.4.3.1,Evaluating Rational Number Expressions Without Exponents
121,1.4.3.2,Evaluating Expressions With Positive Integer Exponents
1987,1.4.3.3,Evaluating Expressions With Integer Exponents
1822,1.4.4.1,The Square Root of a Perfect Square
3552,1.4.4.2,Squaring a Square Root
1819,1.4.4.3,The Cube Root of a Perfect Cube
2204,1.4.4.4,Surds
3709,1.4.4.5,Simplifying Expressions With Surds
589,1.4.4.6,Evaluating Numerical Expressions Containing Radicals
484,1.4.4.7,Adding and Subtracting Radicals
1318,1.4.4.8,Rationalizing Denominators
2607,1.4.5.1,Radicals as Fractional Exponents
1927,1.4.5.2,The Product Rule for Radicals
2240,1.4.5.3,The Quotient Rule for Radicals
63,1.5.1.1,Introduction to Algebraic Expressions
3721,1.5.1.2,Constructing Algebraic Expressions
64,1.5.1.3,Evaluating Linear Expressions
2183,1.5.1.4,Evaluating Rational Expressions
643,1.5.1.5,Identifying Terms in Linear Expressions
645,1.5.1.6,Identifying Coefficients and Constants in Linear Expressions
85,1.5.1.7,The Greatest Common Factor of Two Linear Expressions
644,1.5.2.1,Identifying Like Terms in a Linear Expression
134,1.5.2.2,Collecting Like Terms in a Linear Expression
135,1.5.2.3,Applying the Distributive Law With Linear Expressions
3847,1.5.2.4,The Distributive Law With Three Terms
137,1.5.2.5,Distributing the Negative Sign in a Linear Expression
138,1.5.2.6,Simplifying Linear Expressions Using the Distributive Law
3873,1.5.2.7,Simplifying Linear Expressions When a Group of Terms Is Subtracted
2244,1.5.2.8,Simplifying Linear Expressions Containing Fractions
87,1.5.2.9,Factoring Linear Expressions
1412,1.5.3.1,Solving Linear Equations by Trial and Error
65,1.5.3.2,Solving One-Step Addition and Subtraction Equations
40,1.5.3.3,Solving One-Step Multiplication and Division Equations
66,1.5.4.1,Solving Two-Step Equations
67,1.5.4.2,Solving Linear Equations With Fractional Coefficients
2270,1.5.4.3,Solving Linear Equations With Decimal Coefficients
343,1.5.4.4,Solving Linear Equations With Variables on Both Sides
651,1.5.4.5,Solving Linear Equations by Clearing a Rational Expression
1413,1.5.4.6,Solving Linear Equations Using Cross-Multiplication
356,1.5.4.7,Solving Two-Variable Equations
1414,1.5.4.8,Linear Equations With Infinitely Many Solutions
5572,1.5.4.9,Linear Equations With No Solutions
3747,1.5.4.10,Solving Linear Equations With Unknown Coefficients
3752,1.5.4.11,Solving Linear Equations With Unknown Coefficients by Factoring
354,1.5.4.12,Solving Many-Variable Equations
2213,1.5.5.1,Interpreting Linear Expressions
426,1.5.5.2,Modeling With Linear Equations
178,1.5.6.1,Inequalities
2310,1.5.6.2,Compound Inequalities
387,1.5.6.3,Verifying Solutions of Linear Inequalities
38,1.5.6.4,Solving One-Step Linear Inequalities
4021,1.5.6.5,Solving Two-Step Inequalities
4031,1.5.6.6,Representing Solutions to Inequalities on Number Lines
4034,1.5.6.7,Further Solving Linear Inequalities
388,1.5.6.8,Solving Compound Inequalities
239,1.5.6.9,Interval Notation
4028,1.5.6.10,Unbounded Intervals
458,1.5.6.11,Unions of Intervals
347,1.5.6.12,Intersections of Intervals
1576,1.5.6.13,Compound OR Inequalities
350,1.5.6.14,Compound AND Inequalities
430,1.5.7.1,Solving Equations Using the Square Root Method
3748,1.5.7.2,Solving Equations With Odd Exponents Using the Nth Root Method
1587,1.5.7.3,Solving Equations With Even Exponents Using the Nth Root Method
92,1.6.1.1,The Cartesian Coordinate System
573,1.6.1.2,Distances Between Points in the Coordinate Plane
94,1.6.1.3,Two-Variable Linear Equations and Their Solutions
95,1.6.1.4,Graphing Linear Equations
97,1.6.1.5,Horizontal and Vertical Lines
396,1.6.1.6,Calculating Slopes of Straight Lines
1240,1.6.1.7,Equations of Lines in Slope-Intercept Form
398,1.6.1.8,Properties of Lines Given in Slope-Intercept Form
418,1.6.1.9,Equations of Lines in Point-Slope Form
839,1.6.1.10,Equations of Lines in Standard Form
3725,1.6.1.11,Properties of Lines Given in Standard Form
837,1.6.1.12,Parallel Lines in the Coordinate Plane
653,1.6.2.1,Modeling With Linear Equations in Two Variables
1588,1.6.2.2,Analyzing and Interpreting Graphs of Linear Equations
3765,1.6.2.3,Further Modeling With Linear Equations in Two Variables
1589,1.6.2.4,Distance-Time Graphs
2327,1.6.2.5,Speed-Time Graphs
1590,1.6.2.6,Calculating Distance From a Speed-Time Graph
2225,1.6.3.1,Introduction to Systems of Linear Equations
487,1.6.3.2,Solving Systems of Equations by Substitution
742,1.6.3.3,Introduction to the Elimination Method
4026,1.6.3.4,Solving Systems of Linear Equations Using Elimination: One Transformation
4236,1.6.3.5,Solving Systems of Linear Equations Using Elimination: Two Transformations
1045,1.6.3.6,Systems of Linear Equations With Fractional Coefficients
1081,1.6.3.7,Systems of Linear Equations With Decimal Coefficients
101,1.6.3.8,Solving Systems of Nonlinear Equations Using Graphs
493,1.6.3.9,Systems of Equations With No Solutions and Infinitely Many Solutions
4638,1.6.3.10,Consistency and Dependency in Linear Systems
408,1.6.3.11,Calculating the Intersection of Two Lines
380,1.7.1.1,Writing Radical Expressions Using Fractional Exponents
376,1.7.1.2,The Square Root of a Perfect Square With Algebraic Expressions
3729,1.7.1.3,The Square Root of a Perfect Square With Domain Restrictions
381,1.7.1.4,The Cube Root of a Perfect Cube With Algebraic Expressions
389,1.7.1.5,Simplifying Square Root Expressions Using the Product Rule
390,1.7.1.6,Simplifying Square Root Expressions Using the Quotient Rule
3848,1.7.1.7,Combining Radical Expressions Using the Product Rule
2184,1.7.1.8,Evaluating Algebraic Radical Expressions
3756,1.7.1.9,Adding and Subtracting Radical Expressions
1297,1.7.2.1,Equivalent Expressions With Fractions
68,1.7.2.2,Simplifying Rational Expressions
423,1.7.2.3,Simplifying Rational Expressions by Factoring
355,1.7.2.4,Splitting Rational Expressions Into Separate Terms
1415,1.7.3.1,Solving Rational Equations Containing One Fractional Term
698,1.7.3.2,Solving Rational Equations Using Cross-Multiplication
3555,1.7.3.3,Solving Rational Equations Containing Binomials Using Cross-Multiplication
266,1.7.3.4,Solving Rational Equations Using the Flip Method
470,1.8.1.1,Introduction to Functions
631,1.8.1.2,Visual Representations of Functions
3821,1.8.1.3,Graphs of Functions
802,1.8.1.4,The Domain of a Function
1888,1.8.1.5,Global Extrema of Functions
2048,1.8.1.6,End Behavior of Functions
754,1.8.1.7,The Range of a Function
3728,1.8.1.8,The Range of a Function: Advanced Cases
2022,1.8.1.9,The Roots of a Function
1628,1.8.1.10,Increasing and Decreasing Functions
165,1.8.1.11,Piecewise Functions
2220,1.8.1.12,Modeling With Linear Functions
6219,1.8.1.13,Constructing Linear Functions
96,1.9.1.1,Absolute Value Expressions
75,1.9.1.2,Rules of Absolute Value
3536,1.9.1.3,Further Rules of Absolute Value
384,1.9.1.4,Absolute Value Equations
4029,1.9.1.5,Further Absolute Value Equations
451,1.9.1.6,Absolute Value Inequalities
790,1.9.1.7,Absolute Value Graphs
452,1.9.1.8,Vertical Reflections of Absolute Value Graphs
1244,1.9.1.9,Stretches of Absolute Value Graphs
3559,1.9.1.10,Combining Transformations of Absolute Value Graphs
1884,1.9.1.11,Domain and Range of Absolute Value Functions
71,1.10.1.1,The Product Rule for Exponents With Algebraic Expressions
374,1.10.1.2,The Quotient Rule for Exponents With Algebraic Expressions
362,1.10.1.3,The Power Rule for Exponents With Algebraic Expressions
1331,1.10.1.4,The Power of Product Rule With Algebraic Expressions
1428,1.10.1.5,The Power of Quotient Rule With Algebraic Expressions
1417,1.10.1.6,Combining the Rules of Exponents With Algebraic Expressions
391,1.10.2.1,Solving Exponential Equations
1499,1.10.2.2,Creating Exponential Growth Expressions
142,1.10.2.3,Creating Exponential Decay Expressions
1153,1.10.3.1,Exponential Functions
2471,1.10.3.2,Modeling Exponential Growth With Functions
2465,1.10.3.3,Interpreting Exponential Growth
2464,1.10.3.4,Solving Exponential Growth Problems
2472,1.10.3.5,Modeling Exponential Decay With Functions
1629,1.10.3.6,Interpreting Exponential Decay
2466,1.10.3.7,Solving Exponential Decay Problems
1530,1.10.3.8,Graphing Exponential Growth Functions
1531,1.10.3.9,Graphing Exponential Decay Functions
655,1.11.1.1,Introduction to Polynomials
657,1.11.1.2,The Degree of a Polynomial
1783,1.11.1.3,Simplifying Polynomials
349,1.11.1.4,The Distributive Law for Polynomials
81,1.11.1.5,Adding and Subtracting Polynomials
79,1.11.1.6,"Monomials, Binomials and Trinomials"
371,1.11.1.7,Multiplying Binomials
361,1.11.1.8,Multiplying Polynomials
360,1.11.1.9,Squaring Binomials
1157,1.11.1.10,Expanding Binomials Using Pascal's Triangle
2275,1.11.1.11,The Difference of Squares Formula
2181,1.11.2.1,The Greatest Common Factor of Two Monomials
353,1.11.2.2,Factoring Polynomials Using GCFs
352,1.11.2.3,Factoring Perfect Square Trinomials
382,1.11.2.4,Factoring Perfect Square Trinomials With Leading Coefficients
370,1.11.2.5,Factoring Differences of Squares
89,1.11.2.6,Factoring Trinomials
3577,1.11.2.7,Factoring Trinomials Using Common Factors
372,1.11.2.8,Factoring Trinomials With Leading Coefficients
4951,1.11.2.9,Further Factoring Trinomials With Leading Coefficients
1378,1.12.1.1,"Points, Lines, Rays, and Segments"
3979,1.12.1.2,Parallel and Perpendicular Lines
1379,1.12.1.3,Measures of Segments
1462,1.12.1.4,Congruent Segments
1463,1.12.1.5,Midpoints
1500,1.12.1.6,Collinear Points
2278,1.12.1.7,The Segment Addition Postulate
2172,1.12.2.1,Angles and Measures of Angles
3980,1.12.2.2,Measuring Angles Using a Protractor
1505,1.12.2.3,Sums of Angles
1509,1.12.2.4,"Right, Straight, Full, and Null Angles"
1510,1.12.2.5,"Acute, Obtuse, and Reflex Angles"
3554,1.12.2.6,Congruent Angles
1507,1.12.2.7,Vertical Angles
1437,1.12.2.8,Solving Problems With Angles
1639,1.12.3.1,Complementary Angles
1511,1.12.3.2,Supplementary Angles
421,1.12.3.3,Corresponding Angles
4019,1.12.3.4,Alternate Angles
4104,1.12.3.5,Consecutive Angles
1508,1.12.3.6,Angle Bisectors
521,1.12.3.7,Segment Bisectors and the Perpendicular Bisector Theorem
1404,1.12.4.1,Circles
3565,1.12.4.2,"Arcs, Segments, and Sectors of Circles"
460,1.12.4.3,The Circumference of a Circle
1745,1.12.4.4,Areas of Circles
496,1.13.1.1,Interior Angles of Triangles
1458,1.13.1.2,Exterior Angles of Triangles
1601,1.13.1.3,Classifying Triangles
766,1.13.1.4,The Triangle Inequality
1403,1.13.1.5,The Isosceles Triangle Theorem
1644,1.13.1.6,Heights of Triangles
433,1.13.1.7,The Pythagorean Theorem
263,1.13.1.8,Isosceles Right Triangles
262,1.13.1.9,30-60-90 Triangles
1317,1.13.2.1,Polygons
1319,1.13.2.2,Interior Angles of Polygons
1321,1.13.2.3,Exterior Angles of Polygons
1515,1.13.2.4,Congruent Polygons
1322,1.13.2.5,Regular Polygons
1386,1.13.2.6,The Perimeter of a Polygon
1459,1.13.2.7,Classifying Quadrilaterals
1461,1.13.2.8,Properties of Rectangles and Squares
1352,1.13.3.1,Areas of Rectangles and Squares
1397,1.13.3.2,Areas of Triangles
1353,1.13.3.3,Areas of Trapezoids
1468,1.13.3.4,Areas and Perimeters of Composite Shapes
813,2.1.1.1,Introduction to Quadratic Equations
1423,2.1.1.2,Solving Perfect Square Quadratic Equations
1425,2.1.1.3,Perfect Square Quadratic Equations with One or No Solutions
1424,2.1.1.4,The Zero Product Rule for Solving Quadratic Equations
394,2.1.1.5,Solving Quadratic Equations Using a Difference of Squares
393,2.1.1.6,Solving Quadratic Equations with No Constant Term
375,2.1.1.7,Solving Quadratic Equations by Factoring
1422,2.1.1.8,Solving Quadratic Equations with Leading Coefficients by Factoring
450,2.1.1.9,Completing the Square
3842,2.1.1.10,Completing the Square With Odd Linear Terms
3824,2.1.1.11,Completing the Square With Leading Coefficients
419,2.1.1.12,Solving Quadratic Equations by Completing the Square
3849,2.1.1.13,Solving Quadratic Equations With Leading Coefficients by Completing the Square
422,2.1.1.14,The Quadratic Formula
425,2.1.1.15,The Discriminant of a Quadratic Equation
6266,2.1.1.16,Determining Unknown Parameters in Quadratic Equations With One Real Solution
6092,2.1.1.17,Equating Polynomial Coefficients
729,2.1.1.18,Vieta's Formulas
453,2.1.2.1,Graphing Elementary Quadratic Functions
117,2.1.2.2,Vertical Reflections of Quadratic Functions
84,2.1.2.3,Graphs of General Quadratic Functions
661,2.1.2.4,Roots of Quadratic Functions
1429,2.1.2.5,The Discriminant of a Quadratic Function
704,2.1.2.6,The Axis of Symmetry of a Parabola
1451,2.1.2.7,The Average of the Roots Formula
814,2.1.2.8,The Vertex Form of a Parabola
3546,2.1.2.9,Writing the Equation of a Parabola in Vertex Form
1882,2.1.2.10,Domain and Range of Quadratic Functions
410,2.1.2.11,Solving Systems of Nonlinear Equations
6341,2.1.2.12,Finding Intersections of Lines and Quadratic Functions
3830,2.1.2.13,Inverses of Quadratic Functions
688,2.1.2.14,Modeling Downwards Vertical Motion
942,2.2.1.1,Closure Properties of Polynomials
2625,2.2.1.2,The Least Common Multiple of Two Monomials
2626,2.2.1.3,The Least Common Multiple of Two Polynomials
469,2.2.1.4,Determining the Roots of Polynomials
480,2.2.1.5,Solving Polynomial Equations Using the GCF
727,2.2.1.6,Solving Cubic Equations by Grouping
1653,2.2.1.7,Graphing Elementary Cubic Functions
2050,2.2.1.8,End Behavior of Polynomials
2337,2.2.2.1,Further Factoring of Polynomials Using GCFs
660,2.2.2.2,Factoring Higher-Order Polynomials as a Difference of Squares
428,2.2.2.3,Factoring Cubic Expressions by Grouping
441,2.2.2.4,Factoring Sums and Differences of Cubes
2336,2.2.2.5,Factoring Biquadratic Expressions
728,2.2.3.1,Dividing Polynomials Using Synthetic Division
2013,2.2.3.2,Dividing Polynomials by Linear Binomials Using Long Division
427,2.2.3.3,Dividing Polynomials Using Long Division
2883,2.2.3.4,Dividing Polynomials by Manipulating Rational Expressions
846,2.2.4.1,The Factor Theorem
3738,2.2.4.2,Determining Polynomial Coefficients Using the Factor Theorem
2119,2.2.4.3,Factoring Cubic Polynomials Using the Factor Theorem
104,2.2.4.4,Factoring Quartic Polynomials Using the Factor Theorem
88,2.2.4.5,Multiplicities of the Roots of Polynomials
847,2.2.4.6,The Remainder Theorem
757,2.2.4.7,The Rational Roots Theorem
1654,2.2.5.1,Graphing Cubic Curves Containing Three Distinct Real Roots
1656,2.2.5.2,Graphing Cubic Curves Containing a Double Root
2084,2.2.5.3,Graphing Cubic Curves Containing One Distinct Real Root
2049,2.2.5.4,Graphing General Polynomials
2205,2.3.1.1,The Real Number System
2034,2.3.1.2,Sums and Products of Rational and Irrational Numbers
14,2.3.2.1,Imaginary Numbers
464,2.3.2.2,Quadratic Equations with Purely Imaginary Solutions
735,2.3.2.3,Complex Numbers
31,2.3.2.4,Adding and Subtracting Complex Numbers
33,2.3.2.5,Multiplying Complex Numbers
895,2.3.2.6,Solving Quadratic Equations With Complex Roots
32,2.3.2.7,The Cyclic Property of the Imaginary Unit
157,2.3.3.1,The Complex Plane
34,2.3.3.2,The Magnitude of a Complex Number
893,2.3.3.3,The Argument of a Complex Number
140,2.4.1.1,The Arithmetic of Functions
1985,2.4.1.2,Function Composition
3817,2.4.1.3,Describing Function Composition
2707,2.4.1.4,Local Extrema of Functions
1886,2.4.1.5,One-To-One Functions
753,2.4.1.6,Introduction to Inverse Functions
627,2.4.1.7,Calculating the Inverse of a Function
756,2.4.1.8,Graphs of Inverse Functions
3734,2.4.1.9,Domain and Range of Inverse Functions
1889,2.4.1.10,Invertible Functions
2978,2.4.1.11,Plotting X as a Function of Y
2148,2.4.1.12,Periodic Functions
725,2.4.1.13,Even and Odd Functions
2046,2.4.1.14,Unbounded Behavior of Functions Near a Point
1251,2.4.2.1,Vertical Translations of Functions
1584,2.4.2.2,Horizontal Translations of Functions
1252,2.4.2.3,Vertical Stretches of Functions
1586,2.4.2.4,Horizontal Stretches of Functions
1150,2.4.2.5,Vertical Reflections of Functions
1585,2.4.2.6,Horizontal Reflections of Functions
1254,2.4.2.7,Combining Graph Transformations: Two Operations
634,2.4.2.8,Combining Graph Transformations: Three or More Operations
3845,2.4.2.9,Constructing Functions Using Transformations
2841,2.4.2.10,Combining Reflections With Other Graph Transformations
141,2.4.2.11,Finding Points on Transformed Curves
3683,2.4.2.12,The Domain and Range of Transformed Functions
379,2.5.1.1,Converting From Exponential to Logarithmic Form
457,2.5.1.2,Converting From Logarithmic to Exponential Form
378,2.5.1.3,Evaluating Logarithms
818,2.5.1.4,The Natural Logarithm
726,2.5.1.5,The Common Logarithm
1599,2.5.1.6,Simplifying Logarithmic Expressions
1473,2.5.2.1,The Product Rule for Logarithms
1474,2.5.2.2,The Quotient Rule for Logarithms
1475,2.5.2.3,The Power Rule for Logarithms
30,2.5.2.4,Combining the Laws of Logarithms
28,2.5.2.5,The Change of Base Formula for Logarithms
1482,2.5.3.1,Solving Exponential Equations Using Logarithms
870,2.5.3.2,Solving Equations Containing the Exponential Function
1583,2.5.3.3,Solving Exponential Equations With Different Bases
3737,2.5.3.4,Solving Exponential Equations With Different Bases Using Logarithms
2979,2.5.3.5,Solving Exponential Equations Using the Zero-Product Property
226,2.5.4.1,Solving Logarithmic Equations
1551,2.5.4.2,Solving Logarithmic Equations Containing the Natural Logarithm
1594,2.5.4.3,Solving Logarithmic Equations Using the Laws of Logarithms
3832,2.5.4.4,Solving Logarithmic Equations by Combining the Laws of Logarithms
1643,2.5.4.5,Solving Logarithmic Equations With Logarithms on Both Sides
817,2.5.5.1,Vertical Translations of Exponential Growth Functions
456,2.5.5.2,Vertical Translations of Exponential Decay Functions
1682,2.5.5.3,Vertical Reflections of Exponential Functions
6351,2.5.5.4,Combining Graph Transformations of Exponential Functions
1609,2.5.5.5,Properties of Transformed Exponential Functions
1472,2.5.5.6,Inverses of Exponential and Logarithmic Functions
1532,2.5.6.1,Graphing Logarithmic Functions
1707,2.5.6.2,Combining Graph Transformations of Logarithmic Functions
1610,2.5.6.3,Properties of Transformed Logarithmic Functions
1676,2.6.1.1,Simplifying Rational Expressions Using Polynomial Factorization
437,2.6.1.2,Adding and Subtracting Rational Expressions
3739,2.6.1.3,Adding Rational Expressions With No Common Factors in the Denominator
435,2.6.1.4,Multiplying Rational Expressions
436,2.6.1.5,Dividing Rational Expressions
1060,2.6.1.6,Expressing Rational Functions as Sums of Partial Fractions
440,2.6.2.1,Rational Equations With Three Terms
708,2.6.2.2,Advanced Rational Equations
2033,2.6.3.1,Graphing Reciprocal Functions
3735,2.6.3.2,Graph Transformations of Reciprocal Functions
455,2.6.3.3,Combining Graph Transformations of Reciprocal Functions
2082,2.6.3.4,Domain and Range of Transformed Reciprocal Functions
3944,2.6.3.5,Inverses of Reciprocal Functions
434,2.6.3.6,Finding Intersections of Lines and Reciprocal Functions
133,2.6.3.7,Roots of Rational Functions
807,2.6.3.8,Vertical Asymptotes of Rational Functions
808,2.6.3.9,Horizontal Asymptotes of Rational Functions
599,2.6.4.1,Rationalizing Denominators of Algebraic Expressions
86,2.6.4.2,Rationalizing Denominators With Two Terms
6185,2.6.4.3,Further Rationalizing Denominators of Algebraic Expressions
116,2.6.5.1,Solving Radical Equations
3943,2.6.5.2,Inverses of Radical Functions
2038,2.6.5.3,Graphing the Square Root Function
1540,2.6.5.4,Graph Transformations of Square Root Functions
454,2.6.5.5,Graphing the Cube Root Function
1875,2.6.5.6,Properties of Transformed Square Root Functions
1600,2.6.5.7,The Domain of a Transformed Radical Function
3741,2.6.5.8,The Range of a Transformed Radical Function
3530,2.6.5.9,Roots of Transformed Radical Functions
2271,2.7.1.1,Introduction to Sequences
1226,2.7.1.2,Recursive Sequences
73,2.7.1.3,Fibonacci Sequences
673,2.7.1.4,Sigma Notation
3958,2.7.1.5,Properties of Finite Series
667,2.7.2.1,Arithmetic Sequences
3695,2.7.2.2,Recursive Formulas for Arithmetic Sequences
668,2.7.2.3,The Nth Term of an Arithmetic Sequence
2214,2.7.2.4,Translating Between Explicit and Recursive Formulas for Arithmetic Sequences
669,2.7.2.5,Finding the Common Difference of an Arithmetic Sequence
1346,2.7.2.6,Finding the Nth Term of an Arithmetic Sequence Given Two Terms
672,2.7.2.7,Determining Indexes of Terms in Arithmetic Sequences
679,2.7.3.1,Introduction to Geometric Sequences
1818,2.7.3.2,The Recursive Formula for a Geometric Sequence
680,2.7.3.3,The Nth Term of a Geometric Sequence
2215,2.7.3.4,Translating Between Explicit and Recursive Formulas for Geometric Sequences
2534,2.7.3.5,Finding the Common Ratio of a Geometric Sequence Given Two Terms
685,2.7.3.6,Determining Indexes of Terms in Geometric Sequences
3556,2.8.1.1,Finding Equations of Parallel Lines
1427,2.8.1.2,Perpendicular Lines in the Coordinate Plane
3562,2.8.1.3,Finding Equations of Perpendicular Lines
485,2.8.1.4,Midpoints in the Coordinate Plane
459,2.8.1.5,The Distance Formula
526,2.8.1.6,The Shortest Distance Between a Point and a Line
512,2.8.1.7,The Distance Formula in Three Dimensions
